Tokens, ,Tagged,PER_COUNT,ORG_COUNT,LOC_COUNT,,,,,,
72,Ramazan ma hm roz dars sy aik lesson laty ha ab jo adat ap ko dkh or sun kr amal krty thy ap dua kijia ga kacha lesson az bar ho jai aik bechani ha ap sy door jany ki ab to dar sy apkadars ho ga mry lia dua kijia k ma apny amal roz dil tavajo sy kro allah ap ko her lamha taraqi or daraze ummer ata frmay ameen,Ramazan ma hm roz dars sy aik lesson laty ha ab jo adat ap ko dkh or sun kr amal krty thy ap dua kijia ga kacha lesson az bar ho jai aik bechani ha ap sy door jany ki ab to dar sy apkadars ho ga mry lia dua kijia k ma apny amal roz dil tavajo sy kro allah ap ko her lamha taraqi or daraze ummer ata frmay ameen,0,0,0,,,,,,
18,punjab nai pore pakistan main aur in main se punjab ke jo halqe bante hain in main pml,<LOC--punjab> nai pore <LOC--pakistan> main aur in main se <LOC--punjab> ke jo halqe bante hain in main <ORG--pml>,0,1,3,,,,,,
18,bhatti sb agar punjab mein pti ki hakumat na ayi to pti naya sooba nahi bana paye gi,<PER--bhatti> sb agar <LOC--punjab> mein <ORG--pti> ki hakumat na ayi to <ORG--pti> naya sooba nahi bana paye gi,1,2,1,,,,,,
22,zindagy ... ne bola dafa kro ...... no prob wo keh sakti hai kisi ko kuch b ... i know her mentallity,zindagy ... ne bola dafa kro ...... no prob wo keh sakti hai kisi ko kuch b ... i know her mentallity,0,0,0,,,,,,
32,"Abdu ke qanoon ke tehat Hussain Shaheed Suhrawardy par muqaddama chalaya gaya, chunache tribunal ne samne pesh ho kar aap ne apna case aise madlal aur asar angez andaaz mein pesh kiya","Abdu ke qanoon ke tehat <PER--Hussain Shaheed Suhrawardy> par muqaddama chalaya gaya, chunache tribunal ne samne pesh ho kar aap ne apna case aise madlal aur asar angez andaaz mein pesh kiya",1,0,0,,,,,,
12,qmobile k same hi features hotay hain bas naam change hota hai,<ORG--qmobile> k same hi features hotay hain bas naam change hota hai,0,1,0,,,,,,
12,bukwas tarin drama . is serial kalya apna waqt zaya na karyn,bukwas tarin drama . is serial kalya apna waqt zaya na karyn,0,0,0,,,,,,
12,Allah aap ko dhairoon khairain barkatain ataa karay..ubqari team qayamat tak kleeay,Allah aap ko dhairoon khairain barkatain ataa karay..<ORG--ubqari> team qayamat tak kleeay,0,1,0,,,,,,
5,uncle aunty ka num de,uncle aunty ka num de,0,0,0,,,,,,
25,Ye 1963 ka zamana thalekin jab Major Muhammad Akram Shaheed dosri dafa mashriqi Pakistan gaye to Major Muhammad Akram Shaheed ki hesiyat captain kit hi,Ye 1963 ka zamana thalekin jab Major <PER--Muhammad Akram> Shaheed dosri dafa <LOC--mashriqi Pakistan> gaye to Major <PER--Muhammad Akram> Shaheed ki hesiyat captain kit hi,2,0,1,,,,,,
14,yeh mobile mainay czech republic say 28k ka liya hai bht acha set hai,yeh mobile mainay <LOC--czech republic> say 28k ka liya hai bht acha set hai,0,0,1,,,,,,
26,samma alert lahore punjab assembly k 15 azad arkan ka pti me shamuliat ka faisla kal imran khan se bani gala me mulaqat me elan kare,samma alert <LOC--lahore> <ORG--punjab assembly> k 15 azad arkan ka <ORG--pti> me shamuliat ka faisla kal <PER--imran khan> se <LOC--bani gala> me mulaqat me elan kare,1,2,2,,,,,,
15,"Marrd banein, aap eik chaar saal ki bachi nahi hein, mardaangi peida karein apney ander","Marrd banein, aap eik chaar saal ki bachi nahi hein, mardaangi peida karein apney ander",0,0,0,,,,,,
26,imran sahab peshawar metro ke eik arab ke khaddon aur eik arab darakhton mein kharbon ki corruption ke khilaf kis waqt aur kahan kharey hona hai?,<PER--imran> sahab <LOC--peshawar> metro ke eik arab ke khaddon aur eik arab darakhton mein kharbon ki corruption ke khilaf kis waqt aur kahan kharey hona hai?,1,0,1,,,,,,
8,Allah tumhary dilon key haal se waqif hai,Allah tumhary dilon key haal se waqif hai,0,0,0,,,,,,
8,bhaabhi say buhat maar paray gi ik ko,bhaabhi say buhat maar paray gi <PER--ik> ko,1,0,0,,,,,,
8,jb hum agha khan se colg arhy thy....,jb hum <LOC--agha khan> se colg arhy thy....,0,0,1,,,,,,
23,dr yasmin rashid hmm ye b hay par aik baat jaan kr tasali hojati hy k hukumat pti ki bannay ja rahi hai,dr <PER--yasmin rashid> hmm ye b hay par aik baat jaan kr tasali hojati hy k hukumat <ORG--pti> ki bannay ja rahi hai,1,1,0,,,,,,
12,Main jo kuch bhi hoon aaj uske liye main khud zumedaar hoon,Main jo kuch bhi hoon aaj uske liye main khud zumedaar hoon,0,0,0,,,,,,
30,apne india ki tarif kya ki media apke piche pd gai . are pakistan k b log ache h bt jo hmare des pe hmla krte usko sza to do,apne <LOC--india> ki tarif kya ki media apke piche pd gai . are <LOC--pakistan> k b log ache h bt jo hmare des pe hmla krte usko sza to do,0,0,2,,,,,,
13,Unhon ne Karachi ke mutadid thanon mein bator HSO khidmat sar anjam dein,Unhon ne <LOC--Karachi> ke mutadid thanon mein bator HSO khidmat sar anjam dein,0,0,1,,,,,,
24,kis wjha sy program bund na kiyay Jain???Toh phir aap yeah b keh dain mulzimaan ko na pukrain bulkey buchooo ko bus sumjha dain...,kis wjha sy program bund na kiyay Jain???Toh phir aap yeah b keh dain mulzimaan ko na pukrain bulkey buchooo ko bus sumjha dain...,0,0,0,,,,,,
8,walikum salam mashaallah bahut bahut mubarik ho bro,walikum salam mashaallah bahut bahut mubarik ho bro,0,0,0,,,,,,
15,Isi liye humen aik he role ko dono jagah mukhtalif andaz se karna hota hai,Isi liye humen aik he role ko dono jagah mukhtalif andaz se karna hota hai,0,0,0,,,,,,
9,Ameen allah siyat da allah ham.subki mushkil asan kary,Ameen allah siyat da allah ham.subki mushkil asan kary,0,0,0,,,,,,
22,thorii sharam haya khawaja ka bhi election krwao ar iska b shouk pura kerle moulana sahib imran khan dezal zara sasta hogya,thorii sharam haya <PER--khawaja> ka bhi election krwao ar iska b shouk pura kerle <PER--moulana sahib> <PER--imran khan> dezal zara sasta hogya,3,0,0,,,,,,
24,"Jab tak awaam nahe jagy gi,yeh sari parties he qabiz rahen gi.change tab aye gi jab har ghareeb aur aam admi change chahy ga.","Jab tak awaam nahe jagy gi,yeh sari parties he qabiz rahen gi.change tab aye gi jab har ghareeb aur aam admi change chahy ga.",0,0,0,,,,,,
75,"police pe kyun lanat ho ...10,saal k bachay ko us ke chotay bhai k sambey churriyun k waar kar k marne waley ko tu chaiyee k uski khaal utar dein...police pakrey bhi tu tanqeed ka nishana na pakrey tu bhi kharab..log kusi tarah khush nahi ....is,banday ka apna inner guilt tha k is ne apna gala katney ki koshish ki...is ko koi haq nahi k yeh apni frustration kisi k bachay ko mar kar nikaley....bastard","police pe kyun lanat ho ...10,saal k bachay ko us ke chotay bhai k sambey churriyun k waar kar k marne waley ko tu chaiyee k uski khaal utar dein...police pakrey bhi tu tanqeed ka nishana na pakrey tu bhi kharab..log kusi tarah khush nahi ....is,banday ka apna inner guilt tha k is ne apna gala katney ki koshish ki...is ko koi haq nahi k yeh apni frustration kisi k bachay ko mar kar nikaley....bastard",0,0,0,,,,,,
5,jhootay per khuda ki lanat,jhootay per khuda ki lanat,0,0,0,,,,,,
10,chalo ankhen bund ki hein munh tu nahin kholay huwey,chalo ankhen bund ki hein munh tu nahin kholay huwey,0,0,0,,,,,,
28,"Okay! Dear Miss, It is stated that you are invited to my home any time to thank my parents for my birth . Yours sincerely. X Y Z","Okay! Dear Miss, It is stated that you are invited to my home any time to thank my parents for my birth . Yours sincerely. X Y Z",0,0,0,,,,,,
8,us ne meri zindagi azab bana di hai,us ne meri zindagi azab bana di hai,0,0,0,,,,,,
14,panjab main pti k hakumat lazim hy warna pti ka awam se xulam hoga,<LOC--panjab> main <ORG--pti> k hakumat lazim hy warna <ORG--pti> ka awam se xulam hoga,0,2,1,,,,,,
23,"maqbooza kashmir mein eid ke moqey per pakistan ka parcham lehra diya gaya, jis per bharti fouj ne hajoom per laathi charge kiya","<LOC--maqbooza kashmir> mein eid ke moqey per <LOC--pakistan> ka parcham lehra diya gaya, jis per <ORG--bharti fouj> ne hajoom per laathi charge kiya",0,1,2,,,,,,
5,Mra koi bf hi ni,Mra koi bf hi ni,0,0,0,,,,,,
32,1937 mein Hussain Shaheed Suhrawardy all india musluim league mein shamil ho gaey aur Bengal mein muslim league ke secretary ki hesiyat se tanzeem nau ke silsila mein din raat kaam kiya,1937 mein <PER--Hussain Shaheed Suhrawardy> <ORG--all india musluim league> mein shamil ho gaey aur <LOC--Bengal> mein <ORG--muslim league> ke secretary ki hesiyat se tanzeem nau ke silsila mein din raat kaam kiya,1,2,1,,,,,,
21,obaid sharam or haya insaan main hoti hy janwar0n main nhy ppp pmln mma anp bhi inhii janwar0n ki misaal hain,<PER--obaid> sharam or haya insaan main hoti hy janwar0n main nhy <ORG--ppp> <ORG--pmln> <ORG--mma> <ORG--anp> bhi inhii janwar0n ki misaal hain,1,4,0,,,,,,
7,mian sab ko parchi bhul gae the,<PER--mian sab> ko parchi bhul gae the,1,0,0,,,,,,
13,nadia a mirza mam ap pr b mqm altaf ka ilzam lg jayega,<PER--nadia a mirza> mam ap pr b <ORG--mqm> <PER--altaf> ka ilzam lg jayega,2,1,0,,,,,,
22,pti ny lahore sy 14 main sy 4 sets jitin jis sy sbit hta hy ky lahoriye khoty k hi qabil hain,<ORG--pti> ny <LOC--lahore> sy 14 main sy 4 sets jitin jis sy sbit hta hy ky lahoriye khoty k hi qabil hain,0,1,1,,,,,,
4,inshallah kamyabi ho gi,inshallah kamyabi ho gi,0,0,0,,,,,,
6,Qaad k liye bht achi ha,Qaad k liye bht achi ha,0,0,0,,,,,,
5,Tumari 2 saal baad honi,Tumari 2 saal baad honi,0,0,0,,,,,,
21,M.A karne ke bad aap ne education ki aik degree hasil ki aur dars o dadris ka silsila shuru kar deya.,M.A karne ke bad aap ne education ki aik degree hasil ki aur dars o dadris ka silsila shuru kar deya.,0,0,0,,,,,,
3,bakwaas mobile hy,bakwaas mobile hy,0,0,0,,,,,,
19,naya pakistan se punjab khush nhi shayad kuch mula bhi ab hum sub tu khush hen ap ki marzi,naya <LOC--pakistan> se <LOC--punjab> khush nhi shayad kuch mula bhi ab hum sub tu khush hen ap ki marzi,0,0,2,,,,,,
14,bhai apne btya ni phr software ka koi hal ha is masly ka .,bhai apne btya ni phr software ka koi hal ha is masly ka .,0,0,0,,,,,,
10,pakistan ki seyasat mein bohut chotey qad ke log hein,<LOC--pakistan> ki seyasat mein bohut chotey qad ke log hein,0,0,1,,,,,,
28,is murgi ko apny taya abu k haal se ibrat hasil nahi hui lgta he is k din b any waly jo ik se panga le rha he,is murgi ko apny taya abu k haal se ibrat hasil nahi hui lgta he is k din b any waly jo <PER--ik> se panga le rha he,1,0,0,,,,,,
22,walaikum salam bari umeed se thread open kiya tha ke hm bhi poster hon gy top na sahi 2nd 3rd hi sahi,walaikum salam bari umeed se thread open kiya tha ke hm bhi poster hon gy top na sahi 2nd 3rd hi sahi,0,0,0,,,,,,
11,"sharif khandaan ke naseeb mein muqadmaat, jailen, zamaanten aur jilawatni hai","<PER--sharif> khandaan ke naseeb mein muqadmaat, jailen, zamaanten aur jilawatni hai",1,0,0,,,,,,
8,Lahore Qalandars I Love you 2019 Very good,<ORG--Lahore Qalandars> I Love you 2019 Very good,0,1,0,,,,,,
25,"Ami Ami is ki nae meri baat sune, and Ami be like ""mujhy nae pta abhi sulah bhi tm logn ki khudi ho jani hy""","Ami Ami is ki nae meri baat sune, and Ami be like ""mujhy nae pta abhi sulah bhi tm logn ki khudi ho jani hy""",0,0,0,,,,,,
40,wah wah ya howe na baat dil say bhai. bas sari baat yahi hay k ajj Allah ko yaad ker k apnay amaal ko sahi kerna nahi chahtay hum aur umeed Allah say ya hay k sab koch sahi hojaey,wah wah ya howe na baat dil say bhai. bas sari baat yahi hay k ajj Allah ko yaad ker k apnay amaal ko sahi kerna nahi chahtay hum aur umeed Allah say ya hay k sab koch sahi hojaey,0,0,0,,,,,,
9,mqm bhi ghair laye jahangir tareen karachi pti mqm,<ORG--mqm> bhi ghair laye <PER--jahangir tareen> <LOC--karachi> <ORG--pti> <ORG--mqm>,1,3,1,,,,,,
9,yes . pure pakistan me hone chahye thi .,yes . pure <LOC--pakistan> me hone chahye thi .,0,0,1,,,,,,
8,Baldia Me Police Karwai LGW Karinda Hanif Giriftar,<LOC--Baldia> Me Police Karwai LGW Karinda <PER--Hanif> Giriftar,1,0,1,,,,,,
6,Yay tumay b kena chahiye mujay,Yay tumay b kena chahiye mujay,0,0,0,,,,,,
4,mzyy ka Hai naa,mzyy ka Hai naa,0,0,0,,,,,,
10,bhot he umda sharing hai bhai kamal kr dia ....,bhot he umda sharing hai bhai kamal kr dia ....,0,0,0,,,,,,
23,lm pk 93 lakki 3 k ro ne pti umidwar tariq saeed ki dobara ginti ki darkhwast manzoor kar li ginti shuru gna,lm <LOC--pk 93> <LOC--lakki 3> k ro ne <ORG--pti> umidwar <PER--tariq saeed> ki dobara ginti ki darkhwast manzoor kar li ginti shuru gna,1,1,2,,,,,,
9,Kisi K Sa ath Sahii Par Wo Nazar To,Kisi K Sa ath Sahii Par Wo Nazar To,0,0,0,,,,,,
9,kafee mhnat sa ye thread likha hai aap na,kafee mhnat sa ye thread likha hai aap na,0,0,0,,,,,,
41,"sir Punjab main up-gradation ka notification ho gia, is pr mubarkbad, laken doosri tarf Khursheed shah ki committee ny tqreeban 1 lac employees ko regualr kia tha un ko niklany ki tayari ho rhi hai plz un k liy kuch karin.","sir <LOC--Punjab> main up-gradation ka notification ho gia, is pr mubarkbad, laken doosri tarf <PER--Khursheed shah> ki committee ny tqreeban 1 lac employees ko regualr kia tha un ko niklany ki tayari ho rhi hai plz un k liy kuch karin.",1,0,1,,,,,,
13,policies per tanqeed kernay per mera twitter account block ker diya gaya hai,policies per tanqeed kernay per mera twitter account block ker diya gaya hai,0,0,0,,,,,,
9,is se acha khana apne pandas kitchen ka hai,is se acha khana apne <LOC--pandas kitchen> ka hai,0,0,1,,,,,,
41,haina .. boht mza aya dekh kr .. shehzadi rania se to nafrat hi ho gae thi mujhe kiya thi aur kiya nikli .. drama queen yes superb performances of these three .. once again bohat maza aaya . zabardast .,haina .. boht mza aya dekh kr .. shehzadi <PER--rania> se to nafrat hi ho gae thi mujhe kiya thi aur kiya nikli .. drama queen yes superb performances of these three .. once again bohat maza aaya . zabardast .,1,0,0,,,,,,
11,bht alaaaaa recipe hay . may aaj hi try karti hun,bht alaaaaa recipe hay . may aaj hi try karti hun,0,0,0,,,,,,
24,"Aik sawal ke jawab mien Mathira ne bataya ke main all rounder rahon aur bataur all rounder acting, modeling, hosting aur singing jari rahegi","Aik sawal ke jawab mien <PER--Mathira> ne bataya ke main all rounder rahon aur bataur all rounder acting, modeling, hosting aur singing jari rahegi",1,0,0,,,,,,
30,lighting bari hi kharab hai iss dramay main . her koi andheray betha hai . llagta hai poora drama 40 watts kay bulb ki roshni main record hua hai .,lighting bari hi kharab hai iss dramay main . her koi andheray betha hai . llagta hai poora drama 40 watts kay bulb ki roshni main record hua hai .,0,0,0,,,,,,
11,aap ke barey honey ke lihaz sey main maafi chahta hoon,aap ke barey honey ke lihaz sey main maafi chahta hoon,0,0,0,,,,,,
3,wo bhi apny,wo bhi apny,0,0,0,,,,,,
28,"Is ke bad azam o himat ke naqabil e yaqen muqable mein, akele Lalak Jan ne bharti foj ke do units ko 4 ghante tak rok kar rakha","Is ke bad azam o himat ke naqabil e yaqen muqable mein, akele <PER--Lalak Jan> ne <ORG--bharti foj> ke do units ko 4 ghante tak rok kar rakha",1,1,0,,,,,,
