Tokens,Sentences,Tagged,PER_COUNT,ORG_COUNT,LOC_COUNT,
20,"Is par samaat karte huve Supreme Court ne Sanjay Hegde, Sadhana Ramachandran aur Wajahat Habibullah ko muzakrahkar muqarar kiya tha.","Is par samaat karte huve Supreme Court ne <PER--Sanjay Hegde>, <PER--Sadhana Ramachandran> aur <PER--Wajahat Habibullah> ko muzakrahkar muqarar kiya tha.",3,0,0,
36,chand roz ki khamoshi ke baad Iraq ke shehron mein ehtijaj ka silsila aik martaba phir shuru ho gaya hai jis mein ab taq chalees afraad halaak aur do hazaar se zayd zakhmi hogaye hain .,chand roz ki khamoshi ke baad <LOC--Iraq> ke shehron mein ehtijaj ka silsila aik martaba phir shuru ho gaya hai jis mein ab taq chalees afraad halaak aur do hazaar se zayd zakhmi hogaye hain .,0,0,1,
12,Allah taala ko nah is qurbani ka gosht pohanchana hai nah khoon.,Allah taala ko nah is qurbani ka gosht pohanchana hai nah khoon.,0,0,0,
31,"dengue, Malaria , viral bukhaar aur deegar viral Bimariyoun se mutasirah mazreezoun se baat cheet ki aur un se ilaaj aur hospital mein inhen darpaish mushkilaat ke baaray mein daryaft kya.","dengue, Malaria , viral bukhaar aur deegar viral Bimariyoun se mutasirah mazreezoun se baat cheet ki aur un se ilaaj aur hospital mein inhen darpaish mushkilaat ke baaray mein daryaft kya.",0,0,0,
17,Aik chhoti si raqam hum apni zaat par kharch karkay itni badi Saadat haasil kar lete hain.,Aik chhoti si raqam hum apni zaat par kharch karkay itni badi Saadat haasil kar lete hain.,0,0,0,
15,Loog darwazay todkar school mein daakhil hogaye aur wahan se bachiyoun ko bahar nikaal liya.,Loog darwazay todkar school mein daakhil hogaye aur wahan se bachiyoun ko bahar nikaal liya.,0,0,0,
26,Dhamakay ke baad bandargaah ke aas paas senkedon kaseer manzila emiratein malbay ka dhair ban gayi hain aur shaahrahon par khadi senkedon gadiyaan tabah hochuki hain.,Dhamakay ke baad bandargaah ke aas paas senkedon kaseer manzila emiratein malbay ka dhair ban gayi hain aur shaahrahon par khadi senkedon gadiyaan tabah hochuki hain.,0,0,0,
24,"Emirates air se safar ke khawahish mand khaleej ki reyaston, asiayi behar ul kahal, Europi mumalik aur America ke liye reservation karwa satke hain.","<ORG--Emirates> air se safar ke khawahish mand <LOC--khaleej> ki reyaston, <LOC--asiayi behar ul kahal>, Europi mumalik aur <LOC--America> ke liye reservation karwa satke hain.",0,1,3,
33,Pembrokeshire mein mil ford Haven ke saahil par Samand ray ke beech waqay ‘stock raak forte ‘France ke Napoleon III ke Bartania par hamla ka difaa karne ke liye taamer kya gaya tha.,<LOC--Pembrokeshire> mein <LOC--mil ford Haven> ke saahil par Samand ray ke beech waqay ‘<LOC--stock raak forte> ‘<LOC--France> ke <PER--Napoleon III> ke <LOC--Bartania> par hamla ka difaa karne ke liye taamer kya gaya tha.,1,0,5,
40,"Priyanka Gandhi ne mazeed kaha ke mein logoun se ye kehna chahti hon ke Kashmir se lekar Kanyakumari tak, Hahan tak meri aawaz poanch rahi hai, Apne mulk ke ek ek shehri se kehna chahti hon ke apni aawaz uthayein.","<PER--Priyanka Gandhi> ne mazeed kaha ke mein logoun se ye kehna chahti hon ke <LOC--Kashmir> se lekar <LOC--Kanyakumari> tak, <LOC--Hahan> tak meri aawaz poanch rahi hai, Apne mulk ke ek ek shehri se kehna chahti hon ke apni aawaz uthayein.",1,0,3,
12,Ab rozana taqreeban 1 lakh sample ka test kiya ja raha hai.,Ab rozana taqreeban 1 lakh sample ka test kiya ja raha hai.,0,0,0,
11,"phir note bandi aayi, Telangana ke Chief Minister nay sath diya.","phir note bandi aayi, <LOC--Telangana> ke Chief Minister nay sath diya.",0,0,1,
40,Advocate Gourav Jain ki janib se dair kardah  darkhawast ko ahmiyat dene se inkaar karte huve   bench ney kaha ke is baat ko zehen mein rakhna chahiye ke adalat dosaroun ki jaedad par khairati kaam nahi kar sakti hai.,Advocate <PER--Gourav Jain> ki janib se dair kardah darkhawast ko ahmiyat dene se inkaar karte huve bench ney kaha ke is baat ko zehen mein rakhna chahiye ke adalat dosaroun ki jaedad par khairati kaam nahi kar sakti hai.,1,0,0,
13,Shehriat Tarmeemi Qanoon ki himayat mein bhi jalsay aur juloos ja ree hain.,Shehriat Tarmeemi Qanoon ki himayat mein bhi jalsay aur juloos ja ree hain.,0,0,0,
26,Russia aur amarat ke darmiyan tamam shobo mein har satah par taawun aur dosti ke rishtoun ko farogh denay ke tareeqon par tabadlah khayaal kiya gaya.,<LOC--Russia> aur <LOC--amarat> ke darmiyan tamam shobo mein har satah par taawun aur dosti ke rishtoun ko farogh denay ke tareeqon par tabadlah khayaal kiya gaya.,0,0,2,
21,Under Graduate ( UG ) aur Post Graduate ( PG ) Course ke aakhri semester ke imtehanaat 20 June se honge.,Under Graduate ( UG ) aur Post Graduate ( PG ) Course ke aakhri semester ke imtehanaat 20 June se honge.,0,0,0,
75,"Isi terha aik Musalman kisi ke liye takleef dah nahi ho sakta, lekin hum ne jab yeh mehsoos kya ke hamari thodi si be ahteyati ki wajah se na sirf dosaron ko takleef pohanchti hai balkay hamari apni sahet par bhi is ke muzir asraat muratab hotay hain is liye hum ne Baqr Eid ke mauqa par yeh tehreek shuru karne ka faisla kya tha jis ke bohat hi musbit nataij bar aamad hue hain.","Isi terha aik Musalman kisi ke liye takleef dah nahi ho sakta, lekin hum ne jab yeh mehsoos kya ke hamari thodi si be ahteyati ki wajah se na sirf dosaron ko takleef pohanchti hai balkay hamari apni sahet par bhi is ke muzir asraat muratab hotay hain is liye hum ne Baqr Eid ke mauqa par yeh tehreek shuru karne ka faisla kya tha jis ke bohat hi musbit nataij bar aamad hue hain.",0,0,0,
39,Police ohdedaroun ne kaha ke is Lockdown mein riyasat ke mukhtalif Check Post par tainaat Police ke zareya khilaaf warzi karne waloun ke khilaaf karwai shaamil hai taakay logoun ko apni rahaish gaahoun se baher janey se rokk sakay.,Police ohdedaroun ne kaha ke is Lockdown mein riyasat ke mukhtalif Check Post par tainaat Police ke zareya khilaaf warzi karne waloun ke khilaaf karwai shaamil hai taakay logoun ko apni rahaish gaahoun se baher janey se rokk sakay.,0,0,0,
